Date,Open,Low,High,Close
1/1/1999,113.63,113.63,113.63,113.63
1/4/1999,113.63,111.57,113.98,112.04
1/5/1999,112.04,110.5,112.4,111.17
1/6/1999,111.17,111.5,113.48,113.01
1/7/1999,113.01,109.8,113,110.94
1/8/1999,110.94,110.55,112.1,110.89
1/11/1999,110.89,108.2,111,108.61
1/12/1999,108.61,108.7,112.8,112.48
1/13/1999,112.48,111.15,114.13,113.15
1/14/1999,113.15,112.8,114.43,113.43
1/15/1999,113.43,112.3,114.24,113.99
1/18/1999,113.99,113.3,115,114.2
1/19/1999,114.2,113.41,114.9,113.5
1/20/1999,113.5,112.81,114.07,112.86
1/21/1999,112.86,112.35,114.56,113.64
1/22/1999,113.64,113.6,114.78,114.67
1/25/1999,114.67,113.57,114.8,113.94
1/26/1999,113.94,113.3,114.3,113.95
1/27/1999,113.95,113.45,116.13,115.72
1/28/1999,115.72,115.2,116.84,116.39
1/29/1999,116.39,115.72,116.52,116.4
2/1/1999,116.4,114.96,115.95,115.07
2/2/1999,115.07,111.91,115.15,112.05
2/3/1999,112.05,111.75,113.01,112.83
2/4/1999,112.83,111.55,114,112.35
2/5/1999,112.35,111.35,113.72,113.22
2/8/1999,113.22,112.75,114.94,114.51
2/9/1999,114.51,114.05,114.9,114.38
2/10/1999,114.38,113.75,115.5,114.31
2/11/1999,114.31,113.6,114.82,114.58
2/12/1999,114.58,113.87,115.75,114.49
2/15/1999,114.49,113.8,115.9,115.45
2/16/1999,115.45,115.65,118.92,118.78
2/17/1999,118.78,118,119.22,119.1
2/18/1999,119.1,118.35,120.15,119.82
2/19/1999,119.82,119.4,121.16,121.08
2/22/1999,121.08,120.09,122.5,120.87
2/23/1999,120.87,119.85,121.91,120.91
2/24/1999,120.91,120.55,122.06,121.76
2/25/1999,121.76,119,120.8,119.64
2/26/1999,119.64,118.5,121.05,119.05
3/1/1999,119.05,118.9,119.94,119.74
3/2/1999,119.74,119.7,120.89,120.35
3/3/1999,120.35,120,121.89,121.76
3/4/1999,121.76,121.75,123.76,123.31
3/5/1999,123.31,122.04,123.55,122.63
3/8/1999,122.63,121.1,123.15,121.66
3/9/1999,121.66,120.65,122.05,120.91
3/10/1999,120.91,119.56,121.3,119.91
3/11/1999,119.91,118.56,120.95,119.32
3/12/1999,119.32,118.78,120.35,118.81
3/15/1999,118.81,117.34,119.4,117.7
3/16/1999,117.7,117.3,118.45,117.71
3/17/1999,117.71,117.2,119.15,118.01
3/18/1999,118.01,117.27,118.75,117.43
3/19/1999,117.43,116.9,117.75,117.23
3/22/1999,117.23,116.95,118.46,118.08
3/23/1999,118.08,117.79,118.75,118
3/24/1999,118,117.09,118.5,117.96
3/25/1999,117.96,117.75,118.35,118.09
3/26/1999,118.09,118,120.55,120.25
3/29/1999,120.25,119.62,120.55,120.12
3/30/1999,120.12,119.85,120.7,120.3
3/31/1999,120.3,118.13,120.9,119.01
4/1/1999,119.01,118.45,120.65,120.48
4/2/1999,120.48,120.35,120.8,120.43
4/5/1999,120.43,120.4,122.06,121.82
4/6/1999,121.82,120.63,121.8,120.72
4/7/1999,120.72,120.4,121.62,121.33
4/8/1999,121.33,120.34,121.55,121.39
4/9/1999,121.39,120.75,121.5,120.91
4/12/1999,120.91,119.76,120.9,120.18
4/13/1999,120.18,119.79,120.8,119.8
4/14/1999,119.8,118.57,119.9,118.62
4/15/1999,118.62,118.35,119.49,118.79
4/16/1999,118.79,117.45,119.15,117.75
4/19/1999,117.75,117.5,118.5,117.57
4/20/1999,117.57,117.53,118.99,118.85
4/21/1999,118.85,118.55,119.93,119.73
4/22/1999,119.73,119.41,120.4,119.5
4/23/1999,119.5,119.13,119.8,119.37
4/26/1999,119.37,118.7,119.58,119.27
4/27/1999,119.27,119.1,120.56,120.37
4/28/1999,120.37,118.35,120.25,119.23
4/29/1999,119.23,118.8,119.4,119.01
4/30/1999,119.01,118.95,119.96,119.39
5/3/1999,119.39,119.4,120.43,120.29
5/4/1999,120.29,120.2,121.34,120.83
5/5/1999,120.83,119.96,121.43,120.61
5/6/1999,120.61,119.85,121.09,120.44
5/7/1999,120.44,120.25,120.92,120.83
5/10/1999,120.83,120.32,121.29,120.51
5/11/1999,120.51,120.25,121.15,120.95
5/12/1999,120.95,120.29,121.64,120.91
5/13/1999,120.91,120.85,121.91,121.82
5/14/1999,121.82,121.49,122.79,122.75
5/17/1999,122.75,122.8,123.55,123.43
5/18/1999,123.43,122.65,123.65,123.18
5/19/1999,123.18,123.2,124.72,124.33
5/20/1999,124.33,123.84,124.75,124.37
5/21/1999,124.37,123.55,124.55,124
5/24/1999,124,122.91,124.35,123.2
5/25/1999,123.2,122.35,123.2,122.8
5/26/1999,122.8,121.6,122.45,122.07
5/27/1999,122.07,119.8,122.7,120.39
5/28/1999,120.39,120.2,121.75,121.45
5/31/1999,121.45,121.25,121.9,121.6
6/1/1999,121.6,120.34,121.9,120.56
6/2/1999,120.56,120.4,121.43,121.33
6/3/1999,121.33,120.95,121.95,121.65
6/4/1999,121.65,121.45,122.51,122.25
6/7/1999,122.25,120.55,122.45,120.77
6/8/1999,120.77,118.74,121.65,118.89
6/9/1999,118.89,118.6,119.6,118.89
6/10/1999,118.89,117.55,119.9,118.85
6/11/1999,118.85,117.88,119.1,118.07
6/14/1999,118.07,117.9,120.85,120.6
6/15/1999,120.6,120.2,120.78,120.4
6/16/1999,120.4,120.05,120.65,120.27
6/17/1999,120.27,119.15,120.4,119.16
6/18/1999,119.16,118.95,120.98,120.39
6/21/1999,120.39,120.6,122.51,122.47
6/22/1999,122.47,121.53,122.45,121.68
6/23/1999,121.68,121.7,122.3,121.7
6/24/1999,121.7,121.65,122.3,121.83
6/25/1999,121.83,121.13,122.05,121.4
6/28/1999,121.4,121,121.9,121.19
6/29/1999,121.19,120.78,121.65,121.08
6/30/1999,121.08,120.55,121.2,121.11
7/1/1999,121.11,120.56,121.49,120.78
7/2/1999,120.78,120.75,121.25,121.08
7/5/1999,121.08,120.95,122.85,122.4
7/6/1999,122.4,121.88,122.4,122
7/7/1999,122,121.9,122.28,122.18
7/8/1999,122.18,122.25,122.79,122.61
7/9/1999,122.61,122.06,122.7,122.4
7/12/1999,122.4,121.95,122.5,122.15
7/13/1999,122.15,121.14,122.2,121.33
7/14/1999,121.33,120.36,121.4,120.59
7/15/1999,120.59,120.25,121.2,120.83
7/16/1999,120.83,120.48,121.15,120.98
7/19/1999,120.98,117.7,121,117.79
7/20/1999,117.79,117.95,119.7,118.89
7/21/1999,118.89,118.07,119.6,118.15
7/22/1999,118.15,116.04,118.75,116.61
7/23/1999,116.61,116.13,117.35,116.55
7/26/1999,116.55,115.47,117.1,116.62
7/27/1999,116.62,116.16,117.35,116.34
7/28/1999,116.34,115.4,116.6,116.08
7/29/1999,116.08,114.91,116.1,115.46
7/30/1999,115.46,114.35,115.8,114.53
8/2/1999,114.53,113.95,114.95,114.26
8/3/1999,114.26,114.35,115.76,115.3
8/4/1999,115.3,114.07,115.35,114.36
8/5/1999,114.36,113.61,114.9,114.31
8/6/1999,114.31,114.25,114.95,114.75
8/9/1999,114.75,115,115.53,115.21
8/10/1999,115.21,114.41,115.4,114.87
8/11/1999,114.87,114.5,115.39,115.37
8/12/1999,115.37,115.4,116,115.58
8/13/1999,115.58,114.5,116.51,115.75
8/16/1999,115.75,114.65,115.9,114.7
8/17/1999,114.7,113.91,114.9,114.03
8/18/1999,114.03,111.62,114.3,111.98
8/19/1999,111.98,110.75,112.35,111.39
8/20/1999,111.39,111.06,112.1,111.28
8/23/1999,111.28,110.6,112.08,111.44
8/24/1999,111.44,110.66,112.8,110.77
8/25/1999,110.77,110.55,112.4,111.11
8/26/1999,111.11,110.8,111.88,111.57
8/27/1999,111.57,111.3,111.9,111.58
8/30/1999,111.58,110.57,111.27,110.72
8/31/1999,110.72,109.05,111.05,109.59
9/1/1999,109.59,108.67,109.8,109.05
9/2/1999,109.05,108.67,109.7,109.2
9/3/1999,109.2,109.1,110.52,110.05
9/6/1999,110.05,109.3,109.95,109.55
9/7/1999,109.55,109.4,111.4,110.85
9/8/1999,110.85,110.4,111.25,111.09
9/9/1999,111.09,107.55,111.15,107.88
9/10/1999,107.88,107.65,109.95,108.84
9/13/1999,108.84,106.1,109.1,106.47
9/14/1999,106.47,105.18,107.2,105.83
9/15/1999,105.83,103.2,106,104.24
9/16/1999,104.24,103.75,105.55,105.17
9/17/1999,105.17,104.8,107.38,106.92
9/20/1999,106.92,106.16,108.15,106.37
9/21/1999,106.37,103.79,107.35,104.85
9/22/1999,104.85,103.69,105.3,103.99
9/23/1999,103.99,103.45,104.61,104.11
9/24/1999,104.11,103.7,105.1,104.1
9/27/1999,104.1,103.9,106.5,105.92
9/28/1999,105.92,105.55,106.71,106.11
9/29/1999,106.11,106.1,107.25,106.99
9/30/1999,106.99,105.2,107.15,106.39
10/1/1999,106.39,104.8,106.35,104.93
10/4/1999,104.93,104.6,106.51,106.2
10/5/1999,106.2,105.9,107.19,106.49
10/6/1999,106.49,105.95,107.78,107.53
10/7/1999,107.53,107.15,107.95,107.44
10/8/1999,107.44,107,107.95,107.42
10/11/1999,107.42,106.6,107.45,106.85
10/12/1999,106.85,106.1,106.9,106.32
10/13/1999,106.32,105.95,107.98,106.57
10/14/1999,106.57,106.4,107.45,107.3
10/15/1999,107.3,105.18,107.6,105.31
10/18/1999,105.31,104.8,105.8,105.1
10/19/1999,105.1,105.16,105.92,105.21
10/20/1999,105.21,105.15,106.78,106.49
10/21/1999,106.49,105.76,106.6,105.87
10/22/1999,105.87,105.25,106.25,105.99
10/25/1999,105.99,105.21,106.2,105.33
10/26/1999,105.33,104.54,105.5,104.7
10/27/1999,104.7,103.7,104.9,104.4
10/28/1999,104.4,103.9,105.25,105.12
10/29/1999,105.12,103.92,105.25,104.2
11/1/1999,104.2,103.7,104.57,104.2
11/2/1999,104.2,103.79,105.05,104.14
11/3/1999,104.14,103.4,105.28,104.92
11/4/1999,104.92,104.36,105.5,104.92
11/5/1999,104.92,104.65,106.62,106.02
11/8/1999,106.02,105.1,106.35,105.16
11/9/1999,105.16,104.75,105.5,104.96
11/10/1999,104.96,104.37,105.25,104.62
11/11/1999,104.62,104.5,105.3,104.9
11/12/1999,104.9,104.5,105.45,105.17
11/15/1999,105.17,104.7,105.1,104.9
11/16/1999,104.9,104.8,106.02,105.89
11/17/1999,105.89,105,106.25,105.42
11/18/1999,105.42,105.35,106.02,105.94
11/19/1999,105.94,105.8,106.6,106.31
11/22/1999,106.31,104.54,106.6,104.81
11/23/1999,104.81,103.99,104.8,104.16
11/24/1999,104.16,104.1,104.77,104.5
11/25/1999,104.5,104.13,105.02,104.3
11/26/1999,104.3,101.28,104.5,101.63
11/29/1999,101.63,101.61,104.05,102.24
11/30/1999,102.24,101.35,103.05,101.9
12/1/1999,101.9,102,102.76,102.69
12/2/1999,102.69,102.2,102.75,102.64
12/3/1999,102.64,102.15,102.76,102.67
12/6/1999,102.67,102.05,103.46,103.02
12/7/1999,103.02,102.18,103.2,102.35
12/8/1999,102.35,102.3,103.08,102.89
12/9/1999,102.89,102.19,103.35,102.41
12/10/1999,102.41,102.16,102.7,102.32
12/13/1999,102.32,102.25,103.33,103.19
12/14/1999,103.19,102.85,103.77,103.51
12/15/1999,103.51,103.3,103.75,103.7
12/16/1999,103.7,102.55,103.75,103.06
12/17/1999,103.06,102.7,103.42,103.17
12/20/1999,103.17,102.29,103.4,102.46
12/21/1999,102.46,101.84,102.6,102.18
12/22/1999,102.18,101.43,102.35,101.69
12/23/1999,101.69,101.3,102.2,101.75
12/24/1999,101.75,101.8,103.15,102.9
12/27/1999,102.9,101.94,102.81,102.25
12/28/1999,102.25,101.97,102.7,102.37
12/29/1999,102.37,101.81,102.45,102.19
12/30/1999,102.19,101.95,102.6,102.51
12/31/1999,102.51,102.09,102.62,102.22
1/3/2000,102.22,101.42,102.2,101.58
1/4/2000,101.58,101.45,103.32,103.26
1/5/2000,103.26,102.85,104.4,104.39
1/6/2000,104.39,104,105.6,105.47
1/7/2000,105.47,104.9,105.92,105.25
1/10/2000,105.25,104.35,105.41,105.15
1/11/2000,105.15,105.05,106.33,105.92
1/12/2000,105.92,105.63,106.09,105.93
1/13/2000,105.93,105.45,106.27,106.16
1/14/2000,106.16,105.54,106.23,105.71
1/17/2000,105.71,104.68,105.85,104.9
1/18/2000,104.9,104.8,105.7,105.66
1/19/2000,105.66,105.14,105.89,105.33
1/20/2000,105.33,105.17,105.7,105.27
1/21/2000,105.27,104.45,105.5,104.79
1/24/2000,104.79,104.7,105.86,105.6
1/25/2000,105.6,105.5,106.06,105.89
1/26/2000,105.89,105.54,106.2,105.72
1/27/2000,105.72,104.64,105.85,104.96
1/28/2000,104.96,104.55,107.27,107.05
1/31/2000,107.05,106.63,107.56,107.47
2/1/2000,107.47,107.15,107.95,107.83
2/2/2000,107.83,107.75,109,108.24
2/3/2000,108.24,107.05,108.72,107.72
2/4/2000,107.72,107.18,108.04,107.29
2/7/2000,107.29,107.2,108.86,108.79
2/8/2000,108.79,108.6,109.72,109.26
2/9/2000,109.26,108.55,109.65,109.12
2/10/2000,109.12,108.3,109.15,108.9
2/11/2000,108.9,108.81,109.77,108.87
2/14/2000,108.87,108,109,108.79
2/15/2000,108.79,108.46,109.3,109.11
2/16/2000,109.11,108.9,109.67,109.41
2/17/2000,109.41,109.35,110.68,110.56
2/18/2000,110.56,110.3,111.27,110.95
2/21/2000,110.95,110.4,111.4,111.35
2/22/2000,111.35,110.54,111.75,110.71
2/23/2000,110.71,110.1,111.36,111.32
2/24/2000,111.32,110.57,111.5,111.05
2/25/2000,111.05,110.15,111.5,110.15
2/28/2000,110.15,108.4,110.4,109.26
2/29/2000,109.26,109.4,110.4,110.12
3/1/2000,110.12,106.48,110.3,107.09
3/2/2000,107.09,106.6,108,107.74
3/3/2000,107.74,107.3,108,107.86
3/6/2000,107.86,106.7,107.9,107.54
3/7/2000,107.54,105.79,108.15,106.15
3/8/2000,106.15,106,107.45,107.03
3/9/2000,107.03,106.17,107.25,106.54
3/10/2000,106.54,106.07,106.7,106.18
3/13/2000,106.18,104.81,106.6,105.59
3/14/2000,105.59,104.6,105.11,105.05
3/15/2000,105.05,104.75,106.2,105.58
3/16/2000,105.58,105.1,105.8,105.55
3/17/2000,105.55,105.35,106.75,106.69
3/20/2000,106.69,106.26,107.05,106.3
3/21/2000,106.3,106.25,107.21,107.03
3/22/2000,107.03,106.5,107.12,106.9
3/23/2000,106.9,107,107.79,107.37
3/24/2000,107.37,106.7,107.65,107
3/27/2000,107,106.6,107.15,106.74
3/28/2000,106.74,105.67,106.8,105.88
3/29/2000,105.88,105,106.3,105.58
3/30/2000,105.58,104.84,105.9,105.49
3/31/2000,105.49,101.99,106.05,102.28
4/3/2000,102.28,102.8,105.6,104.81
4/4/2000,104.81,104.07,105.76,104.85
4/5/2000,104.85,104.75,105.5,104.9
4/6/2000,104.9,104.55,105.1,104.77
4/7/2000,104.77,104.7,105.5,105.43
4/10/2000,105.43,105.3,106.81,106.47
4/11/2000,106.47,106.35,107.12,107.11
4/12/2000,107.11,105.25,106.95,105.85
4/13/2000,105.85,105.65,106.13,105.85
4/14/2000,105.85,104.77,106.15,104.91
4/17/2000,104.91,103.2,105.7,104.28
4/18/2000,104.28,104.07,105.15,104.74
4/19/2000,104.74,104.22,105.05,104.79
4/20/2000,104.79,104.5,105.8,105.75
4/21/2000,105.75,105.45,105.88,105.75
4/24/2000,105.75,105.11,106,105.76
4/25/2000,105.76,105.2,106.02,105.8
4/26/2000,105.8,105.55,106.8,106.28
4/27/2000,106.28,105.55,106.65,106.35
4/28/2000,106.35,106.35,108.27,108.24
5/1/2000,108.24,107.65,109.1,108.88
5/2/2000,108.88,108.25,109.85,108.53
5/3/2000,108.53,108.36,109.49,109.1
5/4/2000,109.1,107.68,109.64,108.12
5/5/2000,108.12,107.25,108.69,108.5
5/8/2000,108.5,108.3,109.2,108.98
5/9/2000,108.98,108.6,109.63,109.47
5/10/2000,109.47,108.6,109.6,109.46
5/11/2000,109.46,108.05,110.05,108.57
5/12/2000,108.57,107.85,109.1,108.44
5/15/2000,108.44,108.6,109.62,109.55
5/16/2000,109.55,108.75,109.92,109.41
5/17/2000,109.41,109.05,110.04,109.39
5/18/2000,109.39,108.45,109.4,108.76
5/19/2000,108.76,106.32,108.8,106.8
5/22/2000,106.8,106.75,107.46,107.05
5/23/2000,107.05,106.4,107.3,106.61
5/24/2000,106.61,106.4,107.95,107.82
5/25/2000,107.82,107.3,107.95,107.48
5/26/2000,107.48,106.58,107.8,106.96
5/29/2000,106.96,106.7,107.36,107.25
5/30/2000,107.25,106.04,107,106.56
5/31/2000,106.56,106.2,107.95,107.72
6/1/2000,107.72,107.6,109.01,108.55
6/2/2000,108.55,107.65,109.1,108.33
6/5/2000,108.33,107.26,108.3,107.69
6/6/2000,107.69,105.24,107.6,105.65
6/7/2000,105.65,105,106.2,105.52
6/8/2000,105.52,105.4,106.21,106.16
6/9/2000,106.16,105.85,107.01,106.84
6/12/2000,106.84,106.35,107.15,106.74
6/13/2000,106.74,106.21,107,106.91
6/14/2000,106.91,106.3,107.1,106.71
6/15/2000,106.71,106.09,106.73,106.61
6/16/2000,106.61,106,106.6,106.22
6/19/2000,106.22,105.59,106.5,105.74
6/20/2000,105.74,105.21,105.9,105.43
6/21/2000,105.43,105.15,105.65,105.55
6/22/2000,105.55,104.11,105.65,104.4
6/23/2000,104.4,103.92,104.9,104.68
6/26/2000,104.68,104.3,105.77,105.71
6/27/2000,105.71,105.26,105.9,105.27
6/28/2000,105.27,105.25,105.79,105.55
6/29/2000,105.55,104.35,105.5,105.04
6/30/2000,105.04,104.8,106.4,105.86
7/3/2000,105.86,105.61,106.45,105.65
7/4/2000,105.65,105.25,106.5,106.15
7/5/2000,106.15,105.8,107.2,107.05
